"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Inbetriebnahmedatum der Einheit am aktuellen Standort";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Gemeinde";"Landkreis";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Überwiegende Nutzungsart der Fläche vor Errichtung";"Bereich der überwiegenden Nutzungsart der Fläche vor Errichtung";"Größe der in Anspruch genommenen Fläche in Hektar";"Zusätzliche Merkmale der Fläche und der aktuellen Flächennutzung";"Technologie der Stromerzeugung";"Volleinspeisung oder Teileinspeisung";"Art der Solaranlage";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Hauptneigungswinkel der Solar-Module";"Nutzungsbereich des Gebäudes mit Solaranlage";"Name des Solarparks";"Lichte Höhe in Meter";"Name des Windparks";"Wind an Land oder auf See";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"MaStR-Nr. der Speichereinheit";"Speichertechnologie";"Nutzbare Speicherkapazität in kWh";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Installierte Leistung der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW"
"SEE946385686357";"WF Märkisch-Linden WEA 5 (Seriennummer FL 555)";"In Betrieb";"Wind";"1500";"1500";"1/20/2009";"";"2/6/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Werder";"Flur 1: 515";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,928041";"12,71258";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"2/25/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL976138936125";"EEG939358718100";"E41860010000000000602160218700004";"1/20/2009";"1500";"";"";"";"";""
"SEE999526177979";"PV-Anlage Laubsdorf 1.BA";"In Betrieb";"Solare Strahlungsenergie";"7240,45";"5560";"12/21/2018";"";"2/6/2019";"Brandenburg";"03058";"Neuhausen";"Laubsdorfer Weg";"998 U";"";"";"12071301";"Neuhausen/Spree";"Spree-Neiße";"51,680489";"14,437515";"Landwirtschaft - Ackerland";"Vegetation";"10,51";"Benachteiligtes Gebiet, Konversionsfläche";"";"Volleinspeisung";"Freiflächensolaranlage";"25527";"Süd";"5 - 20 Grad";"";"Laubsdorf 1.BA (7249)";"";"";"";"";"";"";"";"";"";"";"";"10/20/2025";"";"";"SP IX GmbH & Co. KG";"ABR975481320803";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL964706406811";"EEG966072378020";"E41081010000000000000000000281387";"12/21/2018";"7240,45";"SOL17-2/041,";"";"";"";""
"SEE919877394658";"WF Märkisch-Linden WEA 6 (Seriennummer FL 556)";"In Betrieb";"Wind";"1500";"1500";"2/4/2009";"";"2/6/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Werder";"Flur 1: 176";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,930093";"12,709029";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"2/3/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL910248142755";"EEG906593170703";"E41860010000000000602160218700019";"2/4/2009";"1500";"";"";"";"";""
"SEE933490953979";"PV-Anlage Laubsdorf 1.BA";"In Betrieb";"Solare Strahlungsenergie";"2746,2";"2100";"1/18/2019";"";"2/6/2019";"Brandenburg";"03058";"Neuhausen";"";"";"Laubsdorf";"Flur1: 122, 24, 125, 138/2, 617, 619";"12052000";"Cottbus";"Cottbus";"51,680489";"14,437515";"Landwirtschaft - Ackerland";"Vegetation";"3,99";"Benachteiligtes Gebiet, Konversionsfläche";"";"Volleinspeisung";"Freiflächensolaranlage";"9660";"Süd";"5 - 20 Grad";"";"Laubsdorf 1. BA (2.746)";"";"";"";"";"";"";"";"";"";"";"";"10/20/2025";"";"";"SP IX GmbH & Co. KG";"ABR975481320803";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL964706406811";"EEG955860302521";"E41081010000000000000000000288087";"1/18/2019";"2746,2";"GEM18-2/039,";"";"";"";""
"SEE914028681946";"WF Märkisch-Linden WEA 7 (Seriennummer FL 557)";"In Betrieb";"Wind";"1500";"1500";"1/22/2009";"";"2/6/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Werder";"Flur 2: 243";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,932672";"12,704551";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"4/23/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL910248142755";"EEG919267303703";"E41860010000000000602160218700005";"1/22/2009";"1500";"";"";"";"";""
"SEE981965198202";"WF Märkisch-Linden WEA 8 (Seriennummer FL 558)";"In Betrieb";"Wind";"1500";"1500";"1/6/2009";"";"2/6/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Werder";"Flur 2: 193";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,934267";"12,700799";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"12/13/2024";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SEL910248142755";"EEG952609124543";"E41860010000000000602160218700006";"1/6/2009";"1500";"";"";"";"";""
"SEE948553761750";"WF Märkisch-Linden WEA 9 (Seriennummer FL 559)";"In Betrieb";"Wind";"1500";"1500";"1/7/2009";"";"2/6/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Werder";"Flur 2: 208";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,936137";"12,695951";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer  FL MD77";"";"";"";"";"3/4/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL976138936125";"EEG928229683296";"E41860010000000000602160218700020";"1/7/2009";"1500";"";"";"";"";""
"SEE982552141472";"WF Märkisch-Linden WEA 10 (Seriennummer FL 560)";"In Betrieb";"Wind";"1500";"1500";"6/26/2008";"";"2/6/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Kränzlin";"Flur 2: 17";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,929703";"12,720072";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"2/10/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL910248142755";"EEG970805924439";"E41860010000000000602160218700008";"6/26/2008";"1500";"";"";"";"";""
"SEE920651643305";"WF Märkisch-Linden WEA 12 (Seriennummer FL 562)";"In Betrieb";"Wind";"1500";"1500";"5/20/2008";"";"2/6/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Kränzlin";"Flur 1: 12/2";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,932602";"12,716328";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"4/16/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL910248142755";"EEG904373228989";"E41860010000000000602160218700009";"5/20/2008";"1500";"";"";"";"";""
"SEE959325922958";"L2 Lücke 2";"In Betrieb";"Wind";"2780";"2780";"3/12/2016";"";"2/6/2019";"Brandenburg";"17291";"Schenkenberg";"";"";"Kleptow";"Flur 1 Flurstück 16";"12073490";"Schenkenberg";"Uckermark";"53,372866";"13,992542";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"UM Uckermark";"Windkraft an Land";"139";"120";"GE Wind Energy GmbH";"GE 2.75-120/120/2780";"";"";"";"";"12/10/2024";"";"";"ENERTRAG Windfeld Uckermark XIII GmbH & Co. KG";"ABR981105882510";"SGE939956163142";"50Hertz Transmission GmbH (SNB982046657236)";"SNB982046657236";"Geprüft";"Höchstspannung";"SEL946360652124";"EEG938007493139";"E40450010000000000000028140210182";"3/12/2016";"2780";"";"";"";"";""
"SEE953711247748";"WF Märkisch-Linden WEA 13 (Seriennummer FL 563)";"In Betrieb";"Wind";"1500";"1500";"1/13/2009";"";"2/6/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Kränzlin";"Flur 2: 4";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,934697";"12,713031";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"3/18/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL910248142755";"EEG984077742691";"E41860010000000000602160218700010";"1/13/2009";"1500";"";"";"";"";""
"SEE916332403214";"WF Märkisch-Linden WEA 14 (Seriennummer FL 564)";"In Betrieb";"Wind";"1500";"1500";"1/21/2009";"";"2/6/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Kränzlin";"Flur 2: 108";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,936006";"12,708977";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"12/13/2024";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SEL910248142755";"EEG959271722923";"E41860010000000000602160218700011";"1/21/2009";"1500";"";"";"";"";""
"SEE968225260886";"WF Märkisch-Linden WEA15 (Seriennummer FL 565)";"In Betrieb";"Wind";"1500";"1500";"1/16/2009";"";"2/6/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Kränzlin";"Flur 2: 111";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,937316";"12,704909";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"2/3/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL910248142755";"EEG927576533605";"E41860010000000000602160218700012";"1/16/2009";"1500";"";"";"";"";""
"SEE949843189186";"WF Märkisch-Linden WEA 16 (Seriennummer FL 566)";"In Betrieb";"Wind";"1500";"1500";"1/21/2009";"";"2/6/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Darritz";"Flur 1: 107";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,938625";"12,700825";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"4/22/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL976138936125";"EEG986624467477";"E41860010000000000602160218700013";"1/21/2009";"1500";"";"";"";"";""
"SEE963545227632";"WF Märkisch-Linden WEA 17 (Seriennummer FL 567)";"In Betrieb";"Wind";"1500";"1500";"1/13/2009";"";"2/8/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Darritz";"Flur 1: 104";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,939942";"12,69683";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"3/14/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL976138936125";"EEG983405671177";"E41860010000000000602160218700014";"1/13/2009";"1500";"";"";"";"";""
"SEE969496044793";"WF Märkisch-Linden WEA 18 (Seriennummer FL 568)";"In Betrieb";"Wind";"1500";"1500";"1/11/2009";"";"2/8/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Darritz";"Flur 1: 102";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,941224";"12,692745";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"12/13/2024";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"In Prüfung";"Hochspannung";"SEL910248142755";"EEG946701796623";"E41860010000000000602160218700015";"1/11/2009";"1500";"";"";"";"";""
"SEE972914043292";"WF Märkisch-Linden WEA 19 (Seriennummer FL 569)";"In Betrieb";"Wind";"1500";"1500";"1/7/2009";"";"2/8/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Kränzlin";"Flur 2: 7";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,93259";"12,710795";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"3/25/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL976138936125";"EEG920788658203";"E41860010000000000602160218700018";"1/7/2009";"1500";"";"";"";"";""
"SEE954071020965";"WF Märkisch-Linden WEA 20 (Seriennummer FL 570)";"In Betrieb";"Wind";"1500";"1500";"1/23/2009";"";"2/8/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Walsleben";"Flur 2: 217/2";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,939079";"12,687639";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"1/9/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL976138936125";"EEG910385706100";"E41860010000000000602160218700017";"1/23/2009";"1500";"";"";"";"";""
"SEE955527325085";"WF Märkisch-Linden WEA 21 (Seriennummer FL 561)";"In Betrieb";"Wind";"1500";"1500";"1/7/2009";"";"2/8/2019";"Brandenburg";"16818";"Märkisch Linden";"";"";"Walsleben";"Flur 2: 246";"12068306";"Märkisch Linden";"Ostprignitz-Ruppin";"52,942771";"12,68792";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"";"Windkraft an Land";"85";"77";"Fuhrländer AG";"Fuhrländer FL MD77";"";"";"";"";"3/11/2025";"";"";"Windfarm Märkisch-Linden GmbH & Co. KG";"ABR990950940641";"SGE902505148587";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL910248142755";"EEG931776812651";"E41860010000000000602160218700007";"1/7/2009";"1500";"";"";"";"";""
"SEE957533408233";"RCP Solarpark Fürstenwalde";"In Betrieb";"Solare Strahlungsenergie";"4716,96";"4320";"12/9/2011";"";"2/8/2019";"Brandenburg";"15517";"Fürstenwalde";"Steinhöfeler Chaussee";"0";"";"";"12067144";"Fürstenwalde/Spree";"Oder-Spree";"52,390004";"14,093905";"";"";"";"";"";"Volleinspeisung";"Freiflächensolaranlage";"20817";"Süd";"21 - 40 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"10/1/2025";"";"";"RCP Solarpark Fürstenwalde GmbH & Co. KG";"ABR914904135549";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL922490316464";"EEG923483134034";"E41860010000000000420533574200001";"12/9/2011";"4716,96";"";"";"";"";""
"SEE901731820847";"V201624";"In Betrieb";"Wind";"3075";"3075";"8/23/2013";"";"2/12/2019";"Brandenburg";"16230";"Sydower Fließ";"";"";"Tempelfelde";"Flur/Flurstück: 4/41";"12060250";"Sydower Fließ";"Barnim";"52,699914";"13,687631";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Tempelfelde";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"Vestas V112";"";"";"";"";"7/25/2024";"";"";"Windpark TEWI GmbH & Co. KG";"ABR900414897800";"SGE967902621934";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL908977583574";"EEG909482397533";"E4186001SZP0000000000049614500010";"8/23/2013";"3075";"";"";"";"";""
"SEE967142227637";"V201625";"In Betrieb";"Wind";"3075";"3075";"8/23/2013";"";"2/12/2019";"Brandenburg";"16230";"Sydower Fließ";"";"";"Tempelfelde";"Flur/Flurstück: 4/41";"12060250";"Sydower Fließ";"Barnim";"52,696272";"13,684022";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Tempelfelde";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"Vestas V112";"";"";"";"";"9/2/2024";"";"";"Windpark TEWI GmbH & Co. KG";"ABR900414897800";"SGE967902621934";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL908977583574";"EEG939239462702";"E4186001SZP0000000000049614500009";"8/23/2013";"3075";"";"";"";"";""
"SEE916547345040";"V201626";"In Betrieb";"Wind";"3075";"3075";"7/22/2013";"";"2/12/2019";"Brandenburg";"16230";"Sydower Fließ";"";"";"Tempelfelde";"Flur/Flurstück: 4/43";"12060250";"Sydower Fließ";"Barnim";"52,697447";"13,691386";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Tempelfelde";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"Vestas V112";"";"";"";"";"8/14/2024";"";"";"Windpark TEWI GmbH & Co. KG";"ABR900414897800";"SGE967902621934";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL908977583574";"EEG961308034008";"E4186001EA01000000000046217300002";"7/22/2013";"3075";"";"";"";"";""
"SEE946637214581";"V201627";"In Betrieb";"Wind";"3075";"3075";"7/30/2013";"";"2/13/2019";"Brandenburg";"16230";"Sydower Fließ";"";"";"Tempelfelde";"Flur/Flurstück: 4/43";"12060250";"Sydower Fließ";"Barnim";"52,694422";"13,688414";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Tempelfelde";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"Vestas V112";"";"";"";"";"7/17/2024";"";"";"Windpark TEWI GmbH & Co. KG";"ABR900414897800";"SGE967902621934";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL908977583574";"EEG935300826961";"E4186001EA01000000000046217300006";"7/30/2013";"3075";"";"";"";"";""
"SEE949239845351";"V201628";"In Betrieb";"Wind";"3075";"3075";"7/29/2013";"";"2/13/2019";"Brandenburg";"16230";"Sydower Fließ";"";"";"Tempelfelde";"Flur/Flurstück: 4/43";"12060250";"Sydower Fließ";"Barnim";"52,698208";"13,697019";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Tempelfelde";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"Vestas V112";"";"";"";"";"7/24/2024";"";"";"Windpark TEWI GmbH & Co. KG";"ABR900414897800";"SGE967902621934";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL908977583574";"EEG967279994303";"E4186001EA01000000000046217300004";"7/29/2013";"3075";"";"";"";"";""
"SEE964178343966";"V201629";"In Betrieb";"Wind";"3075";"3075";"7/18/2013";"";"2/13/2019";"Brandenburg";"16230";"Sydower Fließ";"";"";"Tempelfelde";"Flur/Flurstück: 4/45";"12060250";"Sydower Fließ";"Barnim";"52,694469";"13,693539";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Tempelfelde";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"Vestas V112";"";"";"";"";"7/10/2024";"";"";"Windpark TEWI GmbH & Co. KG";"ABR900414897800";"SGE967902621934";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL908977583574";"EEG996497115986";"E4186001EA01000000000046217300001";"7/18/2013";"3075";"";"";"";"";""
"SEE975314683921";"V201618";"In Betrieb";"Wind";"2000";"2000";"7/30/2013";"";"2/13/2019";"Brandenburg";"16230";"Sydower Fließ";"";"";"Tempelfelde";"Flur/Flurstück: 5/31";"12060250";"Sydower Fließ";"Barnim";"52,699839";"13,701594";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Tempelfelde";"Windkraft an Land";"125";"90";"Vestas Deutschland GmbH";"Vestas V90";"";"";"";"";"9/5/2024";"";"";"Windpark TEWI GmbH & Co. KG";"ABR900414897800";"SGE955108499228";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL908977583574";"EEG946129434770";"E4186001EA01000000000046217300005";"7/30/2013";"2000";"";"";"";"";""
"SEE949896514690";"V201630";"In Betrieb";"Wind";"3075";"3075";"7/31/2013";"";"2/13/2019";"Brandenburg";"16230";"Sydower Fließ";"";"";"Tempelfelde";"Flur/Flurstück: 5/35,36";"12060250";"Sydower Fließ";"Barnim";"52,698972";"13,706669";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Tempelfelde";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"Vestas V112";"";"";"";"";"9/11/2024";"";"";"Windpark TEWI GmbH & Co. KG";"ABR900414897800";"SGE974353593758";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL908977583574";"EEG960716918504";"E4186001EA01000000000046217300007";"7/31/2013";"3075";"";"";"";"";""
"SEE901918302777";"V201631";"In Betrieb";"Wind";"3075";"3075";"7/26/2013";"";"2/13/2019";"Brandenburg";"16230";"Sydower Fließ";"";"";"Tempelfelde";"Flur/Flurstück: 5/35,36";"12060250";"Sydower Fließ";"Barnim";"52,696339";"13,705331";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Tempelfelde";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"Vestas V112";"";"";"";"";"7/22/2024";"";"";"Windpark TEWI GmbH & Co. KG";"ABR900414897800";"SGE974353593758";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL908977583574";"EEG928318782275";"E4186001EA01000000000046217300003";"7/26/2013";"3075";"";"";"";"";""
"SEE966463446734";"DE49.005 Wriezen BA II";"In Betrieb";"Solare Strahlungsenergie";"5563,35";"4100,4";"2/12/2019";"";"2/13/2019";"Brandenburg";"16269";"Wriezen";"";"";"Wriezen";"Flur 12: 64/18, 64/20,064/21, 288/7, 288/21, 420,421, 501,0503";"12064512";"Wriezen";"Märkisch-Oderland";"52,736857";"14,131242";"Industrie- und Gewerbefläche";"Siedlung";"5,6";"Konversionsfläche";"";"Volleinspeisung";"Freiflächensolaranlage";"17118";"Süd";"5 - 20 Grad";"";"";"";"";"";"";"";"";"";"";"";"";"";"12/8/2025";"";"";"PVA Bliesdorf II GmbH & Co. KG";"ABR914289954339";"";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL942536874581";"EEG939762213710";"E4186001EA01000000000101753500002";"2/12/2019";"5563,35";"SOL17-1/075; Gem18-2/017,";"";"";"";""
"SEE953375055024";"V201632";"In Betrieb";"Wind";"3075";"3075";"8/16/2013";"";"2/13/2019";"Brandenburg";"16230";"Sydower Fließ";"";"";"Willmersdorf";"Flur/Flurstück: 1/27";"12060250";"Sydower Fließ";"Barnim";"52,685833";"13,681389";"";"";"";"";"Horizontalläufer";"Volleinspeisung";"";"";"";"";"";"";"";"Windpark Willmersdorf III";"Windkraft an Land";"140";"112";"Vestas Deutschland GmbH";"Vestas V112";"";"";"";"";"9/4/2024";"";"";"Windpark TEWI GmbH & Co. KG";"ABR900414897800";"SGE990042981798";"E.DIS Netz GmbH (SNB941690671609)";"SNB941690671609";"Geprüft";"Hochspannung";"SEL908977583574";"EEG971777747705";"E4186001SZP0000000000049614500008";"8/16/2013";"3075";"";"";"";"";""
